电影名称　　　　　　　　　　　　　　　　	    评分    	    年份    	   评论人数   	短评　　　　　　　　
遗愿清单　　　　　　　　　　　　　　　　	   8.5    	   2007   	  129908  	用剩余不多的时间，去燃烧整个生命。
我爱你　　　　　　　　　　　　　　　　　	   9.0    	   2011   	  57941   	你要相信，这世上真的有爱存在，不管在什么年纪 
千钧一发　　　　　　　　　　　　　　　　	   8.7    	   1997   	  86683   	一部能引人思考的科幻励志片。
荒岛余生　　　　　　　　　　　　　　　　	   8.5    	   2000   	  135498  	一个人的独角戏。　　
麦兜故事　　　　　　　　　　　　　　　　	   8.5    	   2001   	  129241  	麦兜是一只很哲学的猪。 
请以你的名字呼唤我　　　　　　　　　　　	   8.9    	   2017   	  130397  	无　　　　　　　　　
暖暖内含光　　　　　　　　　　　　　　　	   8.4    	   2004   	  146094  	恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
曾经　　　　　　　　　　　　　　　　　　	   8.3    	   2007   	  204551  	有些幸福无关爱情。　
月球　　　　　　　　　　　　　　　　　　	   8.5    	   2009   	  145022  	2009媲美《第九区》的又一部科幻神作。
蝴蝶　　　　　　　　　　　　　　　　　　	   8.6    	   2002   	  95527   	我们长途跋涉寻找的东西，有可能一直就在身边。 
