电影名称　　　　　　　　　　　　　　　　	    评分    	    年份    	   评论人数   	短评　　　　　　　　
幽灵公主　　　　　　　　　　　　　　　　	   8.8    	   1997   	  248323  	人与自然的战争史诗。
阳光灿烂的日子　　　　　　　　　　　　　	   8.7    	   1994   	  285480  	一场华丽的意淫。　　
第六感　　　　　　　　　　　　　　　　　	   8.8    	   1999   	  246788  	深入内心的恐怖，出人意料的结局。
末代皇帝　　　　　　　　　　　　　　　　	   8.9    	   1987   	  180816  	“不要跟我比惨，我比你更惨”再适合这部电影不过了。
重庆森林　　　　　　　　　　　　　　　　	   8.7    	   1994   	  349219  	寂寞没有期限。　　　
禁闭岛　　　　　　　　　　　　　　　　　	   8.6    	   2010   	  379593  	昔日翩翩少年，今日大腹便便。
大鱼　　　　　　　　　　　　　　　　　　	   8.7    	   2003   	  265557  	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
狩猎　　　　　　　　　　　　　　　　　　	   9.0    	   2012   	  137617  	人言可畏。　　　　　
射雕英雄传之东成西就　　　　　　　　　　	   8.7    	   1993   	  289667  	百看不厌。 　　　　
布达佩斯大饭店　　　　　　　　　　　　　	   8.8    	   2014   	  331682  	小清新的故事里注入了大历史的情怀。
甜蜜蜜　　　　　　　　　　　　　　　　　	   8.8    	   1996   	  243131  	相逢只要一瞬间，等待却像是一辈子。
致命ID　　　　　　　　　　　　　　　　	   8.6    	   2003   	  335530  	最不可能的那个人永远是最可能的。
哈利·波特与魔法石　　　　　　　　　　　	   8.7    	   2001   	  274020  	童话世界的开端。　　
一一　　　　　　　　　　　　　　　　　　	   8.9    	   2000   	  163472  	我们都曾经是一一。　
阳光姐妹淘　　　　　　　　　　　　　　　	   8.8    	   2011   	  282783  	再多各自牛逼的时光，也比不上一起傻逼的岁月。 
告白　　　　　　　　　　　　　　　　　　	   8.7    	   2010   	  359085  	没有一人完全善，也没有一人完全恶。
断背山　　　　　　　　　　　　　　　　　	   8.6    	   2005   	  335875  	每个人心中都有一座断背山。
上帝之城　　　　　　　　　　　　　　　　	   8.9    	   2002   	  163920  	被上帝抛弃了的上帝之城。
猫鼠游戏　　　　　　　　　　　　　　　　	   8.7    	   2002   	  240419  	骗子大师和执著警探的你追我跑故事。 
加勒比海盗　　　　　　　　　　　　　　　	   8.6    	   2003   	  363331  	约翰尼·德普的独角戏。
摩登时代　　　　　　　　　　　　　　　　	   9.2    	   1936   	  94483   	大时代中的人生，小人物的悲喜。
阿凡达　　　　　　　　　　　　　　　　　	   8.6    	   2009   	  551875  	绝对意义上的美轮美奂。
爱在黎明破晓前　　　　　　　　　　　　　	   8.7    	   1995   	  231772  	缘分是个连绵词，最美不过一瞬。
穿条纹睡衣的男孩　　　　　　　　　　　　	   8.9    	   2008   	  155874  	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
风之谷　　　　　　　　　　　　　　　　　	   8.8    	   1984   	  184414  	动画片的圣经。　　　
爱在日落黄昏时　　　　　　　　　　　　　	   8.7    	   2004   	  207614  	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
消失的爱人　　　　　　　　　　　　　　　	   8.7    	   2014   	  374088  	年度最佳date movie。
侧耳倾听　　　　　　　　　　　　　　　　	   8.8    	   1995   	  176906  	少女情怀总是诗。　　
超脱　　　　　　　　　　　　　　　　　　	   8.8    	   2011   	  180416  	穷尽一生，我们要学会的，不过是彼此拥抱。
倩女幽魂　　　　　　　　　　　　　　　　	   8.6    	   1987   	  266077  	两张绝世的脸。 　　
红辣椒　　　　　　　　　　　　　　　　　	   8.9    	   2006   	  141580  	梦的勾结。　　　　　
萤火虫之墓　　　　　　　　　　　　　　　	   8.7    	   1988   	  212027  	幸福是生生不息，却难以触及的远。 
驯龙高手　　　　　　　　　　　　　　　　	   8.7    	   2010   	  297681  	和谐的生活离不开摸头与被摸头。
恐怖直播　　　　　　　　　　　　　　　　	   8.7    	   2013   	  232726  	恐怖分子的“秋菊打官司”。
菊次郎的夏天　　　　　　　　　　　　　　	   8.7    	   1999   	  190125  	从没见过那么流氓的温柔，从没见过那么温柔的流氓。
幸福终点站　　　　　　　　　　　　　　　	   8.6    	   2004   	  233234  	有时候幸福需要等一等。 
岁月神偷　　　　　　　　　　　　　　　　	   8.6    	   2010   	  317260  	岁月流逝，来日可追。
借东西的小人阿莉埃蒂　　　　　　　　　　	   8.7    	   2010   	  226145  	曾经的那段美好会沉淀为一辈子的记忆。
七武士　　　　　　　　　　　　　　　　　	   9.2    	   1954   	  80172   	时代悲歌。　　　　　
神偷奶爸　　　　　　　　　　　　　　　　	   8.5    	   2010   	  394464  	Mr. I Don't Care其实也有Care的时候。
小森林 夏秋篇　　　　　　　　　　　　　	   8.9    	   2014   	  137724  	那些静得只能听见呼吸的日子里，你明白孤独即生活。
海洋　　　　　　　　　　　　　　　　　　	   9.0    	   2009   	  101316  	大海啊，不全是水。　
喜剧之王　　　　　　　　　　　　　　　　	   8.5    	   1999   	  329137  	我是一个演员。　　　
真爱至上　　　　　　　　　　　　　　　　	   8.5    	   2003   	  326187  	爱，是个动词。　　　
杀人回忆　　　　　　　　　　　　　　　　	   8.6    	   2003   	  217441  	关于连环杀人悬案的集体回忆。
电锯惊魂　　　　　　　　　　　　　　　　	   8.7    	   2004   	  206321  	真相就在眼前。　　　
谍影重重3　　　　　　　　　　　　　　　	   8.7    	   2007   	  187198  	像吃了苏打饼一样干脆的电影。
贫民窟的百万富翁　　　　　　　　　　　　	   8.5    	   2008   	  407472  	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
雨人　　　　　　　　　　　　　　　　　　	   8.6    	   1988   	  216417  	生活在自己的世界里，也可以让周围的人显得可笑和渺小。
东邪西毒　　　　　　　　　　　　　　　　	   8.6    	   1994   	  259959  	电影诗。　　　　　　
记忆碎片　　　　　　　　　　　　　　　　	   8.5    	   2000   	  289388  	一个针管引发的血案。
喜宴　　　　　　　　　　　　　　　　　　	   8.8    	   1993   	  145206  	中国家庭的喜怒哀乐忍。
怪兽电力公司　　　　　　　　　　　　　　	   8.6    	   2001   	  250837  	不要给它起名字，起了名字就有感情了。
疯狂原始人　　　　　　　　　　　　　　　	   8.7    	   2013   	  383318  	老少皆宜，这就是好莱坞动画的魅力。
燃情岁月　　　　　　　　　　　　　　　　	   8.7    	   1994   	  152358  	传奇，不是每个人都可以拥有。
黑天鹅　　　　　　　　　　　　　　　　　	   8.5    	   2010   	  431073  	黑暗之美。　　　　　
虎口脱险　　　　　　　　　　　　　　　　	   8.9    	   1966   	  110372  	永远看不腻的喜剧。　
英雄本色　　　　　　　　　　　　　　　　	   8.7    	   1986   	  172359  	英雄泪短，兄弟情长。 
卢旺达饭店　　　　　　　　　　　　　　　	   8.8    	   2004   	  124054  	当这个世界闭上双眼，他却敞开了怀抱。
恋恋笔记本　　　　　　　　　　　　　　　	   8.5    	   2004   	  292827  	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
傲慢与偏见　　　　　　　　　　　　　　　	   8.4    	   2005   	  312858  	爱是摈弃傲慢与偏见之后的曙光。
猜火车　　　　　　　　　　　　　　　　　	   8.5    	   1996   	  255084  	不可猜的青春迷笛。 
魂断蓝桥　　　　　　　　　　　　　　　　	   8.8    	   1940   	  133032  	中国式内在的美国电影。
7号房的礼物　　　　　　　　　　　　　　	   8.7    	   2013   	  182766  	《我是山姆》的《美丽人生》。
穿越时空的少女　　　　　　　　　　　　　	   8.6    	   2006   	  190896  	爱上未来的你。 　　
教父3　　　　　　　　　　　　　　　　　	   8.8    	   1990   	  135019  	任何信念的力量，都无法改变命运。
萤火之森　　　　　　　　　　　　　　　　	   8.7    	   2011   	  164032  	触不到的恋人。　　　
哈利·波特与死亡圣器(下)　　　　　　　	   8.6    	   2011   	  283059  	10年的完美句点。　
海边的曼彻斯特　　　　　　　　　　　　　	   8.6    	   2016   	  196434  	我们都有权利不与自己的过去和解。
完美的世界　　　　　　　　　　　　　　　	   9.0    	   1993   	  83379   	坏人的好总是比好人的好来得更感人。
纵横四海　　　　　　　　　　　　　　　　	   8.7    	   1991   	  151442  	香港浪漫主义警匪动作片的巅峰之作。
雨中曲　　　　　　　　　　　　　　　　　	   8.9    	   1952   	  95626   	骨灰级歌舞片。　　　
玩具总动员3　　　　　　　　　　　　　　	   8.8    	   2010   	  197685  	跨度十五年的欢乐与泪水。
小森林 冬春篇　　　　　　　　　　　　　	   8.9    	   2015   	  119716  	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
荒蛮故事　　　　　　　　　　　　　　　　	   8.8    	   2014   	  144823  	始于荒诞，止于更荒诞。
花样年华　　　　　　　　　　　　　　　　	   8.5    	   2000   	  254806  	偷情本没有这样美。　
二十二　　　　　　　　　　　　　　　　　	   8.8    	   2015   	  93615   	有一些东西不应该被遗忘。
我是山姆　　　　　　　　　　　　　　　　	   8.8    	   2001   	  107238  	爱并不需要智商 。　
唐伯虎点秋香　　　　　　　　　　　　　　	   8.4    	   1993   	  339484  	华太师是黄霑，吴镇宇四大才子之一。
超能陆战队　　　　　　　　　　　　　　　	   8.6    	   2014   	  381700  	Balalala~~~
时空恋旅人　　　　　　　　　　　　　　　	   8.6    	   2013   	  207304  	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
人工智能　　　　　　　　　　　　　　　　	   8.6    	   2001   	  194570  	对爱的执着，可以超越一切。
浪潮　　　　　　　　　　　　　　　　　　	   8.7    	   2008   	  135881  	世界离独裁只有五天。
冰川时代　　　　　　　　　　　　　　　　	   8.4    	   2002   	  279248  	松鼠才是角儿。　　　
蝙蝠侠：黑暗骑士崛起　　　　　　　　　　	   8.6    	   2012   	  302633  	诺兰就是保证。　　　
香水　　　　　　　　　　　　　　　　　　	   8.4    	   2006   	  283014  	一个单凭体香达到高潮的男人。
朗读者　　　　　　　　　　　　　　　　　	   8.5    	   2008   	  283898  	当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
心迷宫　　　　　　　　　　　　　　　　　	   8.6    	   2014   	  167678  	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
罗生门　　　　　　　　　　　　　　　　　	   8.7    	   1950   	  128455  	人生的N种可能性。　
追随　　　　　　　　　　　　　　　　　　	   8.9    	   1998   	  83924   	诺兰的牛逼来源于内心散发出的恐惧。
一次别离　　　　　　　　　　　　　　　　	   8.7    	   2011   	  135702  	只有有信仰的人才能说出事实真相。
撞车　　　　　　　　　　　　　　　　　　	   8.6    	   2004   	  177804  	天使与魔鬼的冲撞。　
爆裂鼓手　　　　　　　　　　　　　　　　	   8.6    	   2014   	  244212  	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
未麻的部屋　　　　　　　　　　　　　　　	   8.8    	   1997   	  100765  	好的剧本是，就算你猜到了结局也猜不到全部。
可可西里　　　　　　　　　　　　　　　　	   8.7    	   2004   	  132283  	坚硬的信仰。　　　　
战争之王　　　　　　　　　　　　　　　　	   8.5    	   2005   	  178533  	做一颗让别人需要你的棋子。
地球上的星星　　　　　　　　　　　　　　	   8.8    	   2007   	  87215   	天使保护事件始末。　
梦之安魂曲　　　　　　　　　　　　　　　	   8.7    	   2000   	  114151  	一场没有春天的噩梦。
恐怖游轮　　　　　　　　　　　　　　　　	   8.3    	   2009   	  333144  	不要企图在重复中寻找已经失去的爱。
达拉斯买家俱乐部　　　　　　　　　　　　	   8.6    	   2013   	  172307  	Jared Leto的腿比女人还美！
阿飞正传　　　　　　　　　　　　　　　　	   8.5    	   1990   	  186639  	王家卫是一种风格，张国荣是一个代表。
被解救的姜戈　　　　　　　　　　　　　　	   8.5    	   2012   	  264928  	热血沸腾，那个低俗、性感的无耻混蛋又来了。
牯岭街少年杀人事件　　　　　　　　　　　	   8.7    	   1991   	  109365  	弱者送给弱者的一刀。
谍影重重2　　　　　　　　　　　　　　　	   8.5    	   2004   	  162860  	谁说王家卫镜头很晃？
谍影重重　　　　　　　　　　　　　　　　	   8.5    	   2002   	  196058  	哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
碧海蓝天　　　　　　　　　　　　　　　　	   8.7    	   1988   	  109266  	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
魔女宅急便　　　　　　　　　　　　　　　	   8.5    	   1989   	  199197  	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
惊魂记　　　　　　　　　　　　　　　　　	   8.9    	   1960   	  84832   	故事的反转与反转，分裂电影的始祖。
忠犬八公物语　　　　　　　　　　　　　　	   9.0    	   1987   	  61087   	养狗三日，便会对你终其一生。
秒速5厘米　　　　　　　　　　　　　　　	   8.3    	   2007   	  304453  	青春就是放弃和怀念。
再次出发之纽约遇见你　　　　　　　　　　	   8.5    	   2013   	  173570  	爱我就给我看你的播放列表。
青蛇　　　　　　　　　　　　　　　　　　	   8.4    	   1993   	  225894  	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
海盗电台　　　　　　　　　　　　　　　　	   8.6    	   2009   	  167379  	生命不止，摇滚不死。
哪吒闹海　　　　　　　　　　　　　　　　	   8.9    	   1979   	  82190   	想你时你在闹海。　　
东京物语　　　　　　　　　　　　　　　　	   9.2    	   1953   	  51521   	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
头脑特工队　　　　　　　　　　　　　　　	   8.7    	   2015   	  232131  	愿我们都不用长大，每一座城堡都能永远存在。
绿里奇迹　　　　　　　　　　　　　　　　	   8.7    	   1999   	  108447  	天使暂时离开。　　　
